date	name	author	distribution	x_static_install	id	first
2016-10-31T23:42:09Z	App-IMDBtop-0.001	MGV	App-IMDBtop	NA	AB19jCbs7kuKrZo_dUTMtsWIQ4Q	true
2016-10-31T23:27:53Z	Time-C-0.018	COFFEE	Time-C	NA	aPQUFuEP4P5RIald7mAxnG101yM	false
2016-10-31T23:04:03Z	DBIx-Class-Helpers-2.033002	FREW	DBIx-Class-Helpers	NA	Jev979g6odaj62NUs_VwervLnCc	false
2016-10-31T22:26:02Z	Devel-GlobalDestruction-0.14	HAARG	Devel-GlobalDestruction	NA	5Zz5mOPFCkPvOvYlxThZ8U1aARk	false
2016-10-31T22:16:56Z	Devel-GlobalDestruction-XS-0.03	HAARG	Devel-GlobalDestruction-XS	NA	Tim3yy3gzadoX_bZIaaPJlfA9Gw	false
2016-10-31T22:09:07Z	Safe-Isa-1.000006	HAARG	Safe-Isa	NA	yJkRKlICOWRIMwlAkt2hnaZVH64	false
2016-10-31T22:00:55Z	MooX-InsideOut-0.001004	HAARG	MooX-InsideOut	NA	9rlmxXcjBqJx_ACsARE7YKWl7oQ	false
2016-10-31T21:59:27Z	Moo-2.002005	HAARG	Moo	NA	RBwKLazbWKR4cRawK_28Au8gJyo	false
2016-10-31T21:30:14Z	Devel-GlobalPhase-0.002004	HAARG	Devel-GlobalPhase	NA	89VofuSXA1S9zUYk5gWoto0ArzY	false
2016-10-31T21:23:43Z	Role-Tiny-2.000004	HAARG	Role-Tiny	1	ahrsbaiS5WRt38ySeCdsbEC51bo	false
2016-10-31T21:22:16Z	Devel-CompileLevel-0.001002	HAARG	Devel-CompileLevel	NA	0JFGTGjIQJtfzVkaHZ_XypzeO3E	false
2016-10-31T20:18:56Z	App-CharmKit-2.03	ADAMJS	App-CharmKit	NA	gk9HfPBkb_XEHyXvndt8LgzwA_g	false
2016-10-31T19:53:15Z	Yars-1.25	PLICEASE	Yars	NA	YeK3BtKPpZzdq6wfRSQW_OF2FfQ	false
2016-10-31T18:48:33Z	Yars-1.24	PLICEASE	Yars	NA	l9PoABLLf3nRMoceT4JlZaAX0Ys	false
2016-10-31T18:32:47Z	SVN-Hooks-1.33	GNUSTAVO	SVN-Hooks	NA	qv8TnX4eYtbL0oo4xgAhQOUH_18	false
2016-10-31T18:05:39Z	App-Spec-0.004	TINITA	App-Spec	NA	W9eGnyMuG5jSF81eYjx_sfbZsN8	false
2016-10-31T17:28:43Z	Mojo-Pg-Che-0.072	MCHE	Mojo-Pg-Che	NA	2M_2jNw2AYTPPatjwS_DQy9o_KM	false
2016-10-31T17:27:15Z	Mojolicious-Che-0.024	MCHE	Mojolicious-Che	NA	KQdwgvLv6zOAZ8QJTkfYh0iWSTA	false
2016-10-31T17:21:29Z	Mojolicious-Plugin-RoutesAuthDBI-0.785	MCHE	Mojolicious-Plugin-RoutesAuthDBI	NA	CTOPxV7LgpspI1fFU_VFGpXcf_o	false
2016-10-31T17:16:09Z	Mojolicious-Plugin-RenderCGI-0.100	MCHE	Mojolicious-Plugin-RenderCGI	NA	_c8ewIhtYCT2LkBjfMZN10pWkig	false
2016-10-31T16:44:26Z	Devel-hdb-0.23_02	BRUMMETT	Devel-hdb	NA	sSFC8RN5C8cyN1Lbwu_hAw_Jadc	false
