date	name	author	distribution	x_static_install	id	first
2019-08-31T23:34:13Z	Telemetry-Any-0.06	IVANYCH	Telemetry-Any	NA	1RaxalqOx9pwNwGpEVgFv3qvt5I	false
2019-08-31T23:31:15Z	Git-Repository-1.324	BOOK	Git-Repository	NA	TIEon1gNrsUJFxye_Q2b5Cx8drU	false
2019-08-31T23:18:21Z	Music-Cadence-0.1305	GENE	Music-Cadence	NA	3lKUZM6Dp8sSxV1b9Qa_0f7nDVY	false
2019-08-31T22:28:53Z	DBIx-Class-Helper-SimpleStats-v0.1.3	RRWO	DBIx-Class-Helper-SimpleStats	NA	4hAh7XxRnnGMtntXaFYdwEyTXNA	false
2019-08-31T22:18:28Z	DBIx-Class-Helper-WindowFunctions-v0.3.0	RRWO	DBIx-Class-Helper-WindowFunctions	NA	3nRmlfJyIZ7qo72ipYf6fI88IAY	true
2019-08-31T22:11:51Z	Dita-GB-Standard-20190901	PRBRENAN	Dita-GB-Standard	NA	1L2zySosFPYVIZk1vggzit9bJBc	false
2019-08-31T21:54:00Z	Mail-DMARC-1.20190831	MSIMERSON	Mail-DMARC	NA	VW0dNnyTnr_c9jLkDyJHeNFJfWY	false
2019-08-31T21:42:21Z	Music-Cadence-0.1304	GENE	Music-Cadence	NA	wlNHZKD0gQV2c49cYwQ7qaLTTOk	false
2019-08-31T21:28:12Z	Music-Cadence-0.1303	GENE	Music-Cadence	NA	HEx8LRthpl4Y7ay6onxyaEjDOYg	false
2019-08-31T21:24:05Z	ExtUtils-CppGuess-0.20	ETJ	ExtUtils-CppGuess	NA	Lc9A9bZ9T17QEAwgEREqxHWKVNY	false
2019-08-31T20:45:59Z	DBIx-Class-Helper-TableSample-v0.2.0	RRWO	DBIx-Class-Helper-TableSample	NA	H6oC9TGJSz8BMRQVU_r2t6qeLQo	false
2019-08-31T20:15:26Z	WWW-Scraper-ISBN-BarnesNoble_Driver-1.00	BARBIE	WWW-Scraper-ISBN-BarnesNoble_Driver	NA	nEbBvjLNokU6iS7Lzy6hY6rzSaA	false
2019-08-31T19:22:12Z	Term-Tmux-Layout-1.192431	JMASLAK	Term-Tmux-Layout	NA	Yy486OLgd8Fa49d8_QLcPdNc8ls	false
2019-08-31T19:08:03Z	Alien-libuv-1.012	CAPOEIRAB	Alien-libuv	NA	k5BwEhz0wWgMmgwRLexUwDvAKZ0	false
2019-08-31T19:05:14Z	Music-Cadence-0.1302	GENE	Music-Cadence	NA	jmESQ9F8CfLN4h9qesDhvm1B0Z0	false
2019-08-31T18:42:15Z	Music-Cadence-0.1301	GENE	Music-Cadence	NA	d1wa2R16HjDyMbyyrjRcg3AfTYU	false
2019-08-31T18:31:53Z	Music-Cadence-0.1300	GENE	Music-Cadence	NA	Y508153H93aPD3tVXiA4ccWqDvY	false
2019-08-31T18:22:24Z	Test-BDD-Cucumber-0.60	EHUELS	Test-BDD-Cucumber	NA	y7VJfSiDWpJvpzS5khIyfeDQzYw	false
2019-08-31T17:19:08Z	Test-BDD-Cucumber-0.60-TRIAL	EHUELS	Test-BDD-Cucumber	NA	vIWa8Iooq4XbgaNDQtbx3I_bSJs	false
2019-08-31T16:41:04Z	MVC-Neaf-0.2701_02	KHEDIN	MVC-Neaf	NA	cUza6Jx2nBoq3TxTrpkf1IckLpA	false
2019-08-31T16:23:08Z	Music-Cadence-0.1203	GENE	Music-Cadence	NA	tzvWGDfhicRJQEDWA6uA0JJz3mM	false
2019-08-31T16:00:08Z	Game-Life-Faster-0.001	WYANT	Game-Life-Faster	NA	59s7oLAWEmPuZcGFEaE1aL7dkyg	false
