date	name	author	distribution	x_static_install	id	first
2014-11-30T23:53:22Z	Mojo-JSON-MaybeXS-0.002	DBOOK	Mojo-JSON-MaybeXS	NA	JUxB1SStjuXGurBzScZhxzq8k7s	true
2014-11-30T22:53:59Z	Mojolicious-Plugin-TagHelpers-MailToChiffre-0.06	AKRON	Mojolicious-Plugin-TagHelpers-MailToChiffre	NA	rLnvjF1m1QtiF3BJZDFV5CNlDIM	false
2014-11-30T22:20:52Z	WWW-Sitemap-XML-2.01	AJGB	WWW-Sitemap-XML	NA	NDsjH4FrHKDOvl_1h5lLrBPlDpY	false
2014-11-30T22:15:33Z	Map-Tube-Prague-0.02	SKIM	Map-Tube-Prague	NA	70l12UVQVbVkfBdHoSIW6FSPWuw	false
2014-11-30T22:02:31Z	Spreadsheet-XLSX-Reader-LibXML-v0.18.2	JANDREW	Spreadsheet-XLSX-Reader-LibXML	NA	MCIAhTANnQLgB1n5rX8eUwzXpss	false
2014-11-30T21:50:53Z	Alien-FreeImage-0.009	KMX	Alien-FreeImage	NA	bJZB85sxMp5YZtR47V7vk97hkIc	false
2014-11-30T21:06:37Z	Class-Accessor-Inherited-XS-0.02	RANDIR	Class-Accessor-Inherited-XS	NA	VwLLLn_i_mLU2Jdc0fCO_1_Mv5o	true
2014-11-30T20:47:12Z	List-Objects-WithUtils-2.019001	AVENJ	List-Objects-WithUtils	NA	e0fNI2LiVMR38t8JP_EwvfYvP_U	false
2014-11-30T20:25:33Z	Object-String-0.07	BERZINV	Object-String	NA	DxfBIV_zwlBUWQZya9SWhRECrj4	false
2014-11-30T17:31:44Z	JSON-Relaxed-0.01	MIKO	JSON-Relaxed	NA	C_2TveP9JXonUgTNTXWk3YX5KFA	true
2014-11-30T17:10:04Z	Complete-Bash-History-0.01	PERLANCAR	Complete-Bash-History	NA	3cPgcYdRGDH1lSr7ODqHqphc9YM	true
2014-11-30T17:09:52Z	Complete-Bash-0.13	PERLANCAR	Complete-Bash	NA	sYrT2UUoaJ6SuzTNBIhcuGdsEJg	false
2014-11-30T17:09:41Z	App-SetScreensaverTimeout-0.05	PERLANCAR	App-SetScreensaverTimeout	NA	ZMouIHWBKNk6sNMMSto9SJ_Dt9Q	false
2014-11-30T17:09:29Z	App-SetScreensaverTimeout-0.04	PERLANCAR	App-SetScreensaverTimeout	NA	NrPne73LG4z3_0gD3DkiqEnSYAQ	false
2014-11-30T17:00:25Z	Parse-Netstat-0.09	PERLANCAR	Parse-Netstat	NA	Ciz_lM3xkre5C9ergit16mcIU9A	false
2014-11-30T16:36:15Z	File-ShareDir-Override-0.200	ODYNIEC	File-ShareDir-Override	NA	HjGqtmViglW8dyKAdg58mg7lUDE	false
2014-11-30T15:24:10Z	Device-WebIO-RaspberryPi-0.007	TMURRAY	Device-WebIO-RaspberryPi	NA	HfCg5XYTmpg4Rt1UtdN8daa3fLw	false
2014-11-30T15:22:43Z	Device-WebIO-0.008	TMURRAY	Device-WebIO	NA	agrSHE7Aj_W_vOR_UMgauNdBMf4	false
2014-11-30T15:16:09Z	RTx-FillTicketData-0.02	CHESNOKOV	RTx-FillTicketData	NA	Lc7j3ZVz7mYymPG9b9rsl9deoYo	false
2014-11-30T13:56:39Z	File-Tail-Lite-0.01	CHENGANG	File-Tail-Lite	NA	q_4dKX2AgJjUpfxuZ8pG8T3geXI	true
2014-11-30T13:53:42Z	Log-Dispatchouli-2.012	RJBS	Log-Dispatchouli	NA	F0J5o_76uhMd0qsS8AFcZOZZLfE	false
2014-11-30T13:49:20Z	App-Cmd-0.326	RJBS	App-Cmd	NA	pFE_TtuRQrRC_e9cbpmceRYUaX4	false
2014-11-30T13:16:22Z	App-DDNS-Namecheap-0.014	DWATSON	App-DDNS-Namecheap	NA	_bf1ED3cngRJHkkKV85vbUzyHZM	false
2014-11-30T13:06:03Z	mojolicious-plugin-geocoder-0.02	RAIGAD	mojolicious-plugin-geocoder	NA	d89_I9iGPjwjlDUkVdHk7edY_hE	false
2014-11-30T13:01:47Z	Locale-CLDR-v0.26.3	JGNI	Locale-CLDR	NA	CUz78zRPfAw0Ai2wg52l_hwI3rU	false
2014-11-30T12:59:00Z	Mojolicious-Plugin-AdditionalValidationChecks-0.02	RENEEB	Mojolicious-Plugin-AdditionalValidationChecks	NA	WepdrOxwJa6ZVX5_EJu8QBPRqYM	false
2014-11-30T12:47:26Z	HOI-Comprehensions-0.02	WITHERING	HOI-Comprehensions	NA	5FjnrETtiGPdvf1atEXbA9ML1dE	false
2014-11-30T12:39:37Z	Math-NV-0.07	SISYPHUS	Math-NV	NA	aHDMWMHjQq6mZaA_gbNK_v9iS4M	false
2014-11-30T12:36:50Z	HOI-Comprehensions-0.012	WITHERING	HOI-Comprehensions	NA	fAamC1QyTxXO6wZd2jNvxAi099Q	true
2014-11-30T12:16:27Z	Map-Tube-Barcelona-0.02	MANWAR	Map-Tube-Barcelona	NA	kaUPFAdLBg0gDTHZvTmMrhDu2M0	false
2014-11-30T12:12:26Z	CGI-4.10_01	LEEJO	CGI	NA	TRou4UOl7TmlS5CMbH_xCXu70uw	false
2014-11-30T12:04:37Z	Dist-Zilla-PluginBundle-ZURBORG-0.002	ZURBORG	Dist-Zilla-PluginBundle-ZURBORG	NA	tV8_tbr_Rk9DHVcEKlxZinLg05s	false
2014-11-30T11:53:02Z	Test-CSS-0.01	MANWAR	Test-CSS	NA	EzxCLyGR0wwGnRG5I1GBt5wUN9w	true
2014-11-30T11:47:26Z	Map-Tube-Delhi-0.09	MANWAR	Map-Tube-Delhi	NA	I0XSh7NCJspaSVzYis_GyVjBMXw	false
2014-11-30T11:47:14Z	List-Objects-WithUtils-2.018001	AVENJ	List-Objects-WithUtils	NA	KRtgRG9HYDHMfXPvF_ooGuykfCw	false
2014-11-30T11:38:04Z	App-Tel-0.2009	RDRAKE	App-Tel	NA	9vcNumpqQdx7j51B6_xhL_8t9Eo	false
2014-11-30T11:31:25Z	Metabrik-1.02	GOMOR	Metabrik	NA	r1VhcyP1wxQQaI7w5rhDvXUsxrQ	false
2014-11-30T11:28:38Z	Map-Tube-NYC-0.01	MANWAR	Map-Tube-NYC	NA	_VlXuKJN82w03MffvthyujzBl_A	true
2014-11-30T11:24:32Z	Map-Tube-2.27	MANWAR	Map-Tube	NA	5G4hO491xawdNRdM4FjrJvz8AE8	false
2014-11-30T10:22:39Z	HOI-Comprehensions-0.011	WITHERING	HOI-Comprehensions	NA	JkdICguCrCFFRoLopGIo_Cnfxls	false
2014-11-30T10:16:01Z	Apigee-Edge-0.07	BINARY	Apigee-Edge	NA	IzaNK4j_9CD9ALjxL9e9QhVNCos	false
2014-11-30T10:14:40Z	HOI-Comprehensions-0.01	WITHERING	HOI-Comprehensions	NA	Xmlyo2Xv11640N63TKklZE44J4M	true
2014-11-30T10:13:13Z	Apigee-Edge-0.06	BINARY	Apigee-Edge	NA	MKGCb7DPHGWyZnAW6ozM_CHjhNo	false
2014-11-30T08:44:55Z	Math-Complex_C-0.11	SISYPHUS	Math-Complex_C	NA	qQrpsyGzNAFBS9SWjaXdI0QhoNk	false
2014-11-30T08:34:16Z	Pod-Weaver-Plugin-Rinci-0.19	PERLANCAR	Pod-Weaver-Plugin-Rinci	NA	MsFpq2tputSQJryGTMVi78e9xlk	false
2014-11-30T08:34:04Z	Perinci-Sub-To-CLIOptSpec-0.08	PERLANCAR	Perinci-Sub-To-CLIOptSpec	NA	xT_eKgEKO_dI15rsXEsNhT8JQQQ	false
2014-11-30T08:32:37Z	Statocles-0.025	PREACTION	Statocles	NA	_E_dwHoq2Hg_HB4OvKTzmjzaIyw	false
2014-11-30T08:28:29Z	SQL-Composer-0.09	VTI	SQL-Composer	NA	r7jhrHFZdV_H4OPPTj8ulkm3eFE	false
2014-11-30T08:00:29Z	Acme-Win32-PEPM-0.01	BULKDD	Acme-Win32-PEPM	NA	JaA3nxkDbErevM98Xjq2RTnw1Zk	true
2014-11-30T07:28:46Z	Mojo-JSON-MaybeXS-0.001	DBOOK	Mojo-JSON-MaybeXS	NA	xCVK9RZ5RVsKhTGCz3_dHCJ08kA	true
2014-11-30T06:49:31Z	Math-Complex_C-L-0.01	SISYPHUS	Math-Complex_C-L	NA	UHZJtGMIwz4oLkn9yATiBqtOPTo	true
2014-11-30T06:45:28Z	Math-Complex_C-Q-0.01	SISYPHUS	Math-Complex_C-Q	NA	WmBjK2okti_cxOlPpmd27vrqEwU	true
2014-11-30T06:24:26Z	Bootylicious-1.04	OLEG	Bootylicious	NA	H6_4Y6RgcHq0s55C7P4UblkumqU	false
2014-11-30T05:43:55Z	Perinci-Sub-Complete-0.65	PERLANCAR	Perinci-Sub-Complete	NA	hGCO2SMZXh7lvP4y83mj4W_JnDU	false
2014-11-30T04:50:41Z	Dist-Zilla-Plugin-Git-2.028	CJM	Dist-Zilla-Plugin-Git	NA	FptDiA8yScLoejBuvvjUDUfn_7M	false
2014-11-30T03:53:48Z	MooX-Emulate-Class-Accessor-Fast-0.02	BLUEFEET	MooX-Emulate-Class-Accessor-Fast	NA	_bKwxt3p0_HVdgg5HHAepp_oIio	false
2014-11-30T03:48:30Z	REST-Client-272	MCRAWFOR	REST-Client	NA	8T9U1NN09HEkGd0ckPYVR6CUaFY	false
2014-11-30T03:21:50Z	Geo-Coordinates-GMap-0.07	BLUEFEET	Geo-Coordinates-GMap	NA	HtxymA_nq8psrYxtJ1PHRDfTJm8	false
2014-11-30T02:58:44Z	Spreadsheet-XLSX-Reader-LibXML-v0.16.2	JANDREW	Spreadsheet-XLSX-Reader-LibXML	NA	sKhJufFWHgvTjvZU1vYOpQF3l9s	false
2014-11-30T02:14:28Z	XML-Simple-Sugar-v1.0.7	CAMSPI	XML-Simple-Sugar	NA	L5HFpGj4ISqMJBTNlZvM62JTGYE	false
2014-11-30T02:06:38Z	WWW-Scraper-ISBN-Pearson_Driver-0.22	BARBIE	WWW-Scraper-ISBN-Pearson_Driver	NA	pt3y4C4TzX82PYhyAGk6Okiq_LE	false
2014-11-30T02:05:10Z	XML-Simple-Sugar-v1.0.6	CAMSPI	XML-Simple-Sugar	NA	TtxF_6VPnEUcVCWP6HnQRctVW10	false
2014-11-30T02:04:59Z	WWW-Sitemap-XML-2.00	AJGB	WWW-Sitemap-XML	NA	6YzQDFLV5VqW0Mvo6GC6pDihqk0	false
