date	name	author	distribution	x_static_install	id	first
2017-12-31T23:08:48Z	Taskwarrior-Kusarigama-0.5.0	YANICK	Taskwarrior-Kusarigama	NA	ROV3cWKIURiLM_f477nV6K4e7jg	false
2017-12-31T22:49:31Z	Markdent-0.29	DROLSKY	Markdent	NA	L10c5g6tlKiA9ueyA71bLzA0TUU	false
2017-12-31T22:22:47Z	Digest-PBKDF2-0.013	AMIRI	Digest-PBKDF2	NA	yRauumHzQKfyDmJXC_o3dvdWbCU	false
2017-12-31T22:20:01Z	LUGS-Events-Parser-0.10_01	SCHUBIGER	LUGS-Events-Parser	NA	RitxalnTU5sKMQml06PY6ERqhJk	false
2017-12-31T20:42:50Z	Plack-1.0045	MIYAGAWA	Plack	NA	Pd7J4GQVpotP6gcUc1uQCnKaDNo	false
2017-12-31T20:41:23Z	String-Stomp-0.0103	CSSON	String-Stomp	NA	xaw_rclrqyrFoOrgcthGqCdmlDw	false
2017-12-31T19:40:39Z	App-DocKnot-1.02	RRA	App-DocKnot	NA	SskOnUDrBupWIVlEpyu23l04lfM	false
2017-12-31T19:08:47Z	MarpaX-ESLIF-2.0.31	JDDPAUSE	MarpaX-ESLIF	NA	WWtnzEyhvNr1Nc_BVmh0u7_UhTA	false
2017-12-31T18:36:35Z	Device-Cdio-v2.0.0	ROCKY	Device-Cdio	NA	Da2hBUsnFt0o9N_RgWvJ7uYM6Hk	false
2017-12-31T18:31:11Z	Crypt-LE-0.29	LEADER	Crypt-LE	NA	bVM0EGIYOiC__y4VSO_a_s7cPsQ	false
2017-12-31T17:07:46Z	Test-Sims-20171231	MSCHWERN	Test-Sims	NA	26vibd6AmA_p4Nv9ogPjEBOzsGg	false
2017-12-31T15:55:34Z	WordLists-ID-Common-0.002	PERLANCAR	WordLists-ID-Common	1	F7DrZnUsoTJEBbYbn3VAFDHD0QM	false
2017-12-31T15:51:23Z	WordLists-ID-Common-0.001	PERLANCAR	WordLists-ID-Common	1	UhbwtcJNdmJNqFtk66nbP67n9OU	true
2017-12-31T15:46:44Z	Perl-Tidy-20180101	SHANCOCK	Perl-Tidy	NA	XJJmtiMIES_6p_727tcv_HdsOLg	false
2017-12-31T14:52:19Z	Doit-0.025_51	SREZIC	Doit	NA	LU3Pclfh2SqRPzYa2ND0Vz4Jgyc	false
2017-12-31T14:20:31Z	Mojo-UserAgent-Role-Queued-0.02	DOTAN	Mojo-UserAgent-Role-Queued	NA	_5XinTscY97VJfUHdw9KjzP_VIM	false
2017-12-31T13:37:21Z	Tk-HistEntry-0.45	SREZIC	Tk-HistEntry	NA	wHkUvYt4NB8kPJvPklUg0GwktJI	false
2017-12-31T12:41:42Z	Algorithm-GooglePolylineEncoding-0.05_50	SREZIC	Algorithm-GooglePolylineEncoding	NA	9198_SEiWA_Jfa4eRTxkFrN_VLk	false
2017-12-31T10:31:41Z	Test-Portability-Files-0.09	ABRAXXA	Test-Portability-Files	NA	V8HFl_1gngS0wnxjuhsMFjpBUcY	false
2017-12-31T10:07:22Z	Template-Plugin-Gettext-0.2	GUIDO	Template-Plugin-Gettext	NA	_lGu_tJx5v8N_2WxwIqTCkYwHKU	false
2017-12-31T09:54:24Z	App-Netdisco-2.038000	OLIVER	App-Netdisco	NA	LT98TpvZVh_3Bpwtuogli9AWFFc	false
2017-12-31T08:47:18Z	Time-Strptime-1.02	KARUPA	Time-Strptime	1	4bJ65r5Z1aDdJKgbm3BKXmFQckA	false
2017-12-31T07:43:17Z	Map-Tube-Delhi-0.65	MANWAR	Map-Tube-Delhi	NA	fpl9zhPzOgC2wVTVrryo7NS0lXA	false
2017-12-31T07:23:56Z	Locale-XGettext-0.3	GUIDO	Locale-XGettext	NA	Bri9e2cbZ4wgREhUOBY7ERUXplY	false
2017-12-31T05:27:47Z	Mail-Milter-Authentication-Handler-SMIME-v1.1.7	MBRADSHAW	Mail-Milter-Authentication-Handler-SMIME	NA	9uED3X0pjUu5htnhWhc3c_nKMnQ	false
2017-12-31T04:18:14Z	Digest-PBKDF2-0.012	AMIRI	Digest-PBKDF2	NA	8Jv4ILeAzOMajQw5KL1s_nSeSmQ	false
2017-12-31T04:15:25Z	Mail-Milter-Authentication-Handler-SMIME-v1.1.6	MBRADSHAW	Mail-Milter-Authentication-Handler-SMIME	NA	aN2viyOArNMwV0ku3YhoG7dZNgc	false
2017-12-31T03:10:58Z	Complete-PPR-0.001	PERLANCAR	Complete-PPR	1	nRU91nrLFNEz_teSFA_VF7N51mw	true
2017-12-31T03:09:30Z	Complete-Env-0.400	PERLANCAR	Complete-Env	1	BVWgNIcs3dr8AYCicbi7_2575Zc	false
2017-12-31T01:24:42Z	Perl-Critic-Policy-Moo-ProhibitMakeImmutable-0.02	BLUEFEET	Perl-Critic-Policy-Moo-ProhibitMakeImmutable	NA	mGoJshrjv_Yf5pDK4ce_goQaZk8	false
2017-12-31T00:34:02Z	Mojolicious-Command-nopaste-Service-perlbot-0.006	SIMCOP	Mojolicious-Command-nopaste-Service-perlbot	NA	DCSskAdccR1OJ3WOAQx9V6VMzfw	false
2017-12-30T23:29:55Z	Digest-PBKDF2-0.011	AMIRI	Digest-PBKDF2	NA	J9piarTSkSPCeB_f53G2csq3shc	false
