date	name	author	distribution	x_static_install	id	first
2015-07-31T23:34:09Z	Moose-2.1600	ETHER	Moose	NA	K6Oar7zSkFebi5QX7_nUhBEr7qc	false
2015-07-31T23:13:28Z	WWW-Codeguard-0.03	DAVIDO	WWW-Codeguard	NA	Lm2SkKZ4oNQGCccbZRTSNboaFWs	true
2015-07-31T23:11:38Z	Starch-0.06	BLUEFEET	Starch	NA	8CElSxdQcSRZxLhU9kEAdnlZlVE	true
2015-07-31T23:00:34Z	Data-Object-0.24	AWNCORP	Data-Object	NA	961HYZQcFPCqnHLK0waKUJxMc3c	false
2015-07-31T22:59:07Z	Dios-0.000004	DCONWAY	Dios	NA	VaTz1kLfDtG8zsOwPboNvD2FVY8	false
2015-07-31T21:24:20Z	App-Dochazka-CLI-0.214	SMITHFARM	App-Dochazka-CLI	NA	EXK76fOCB7xVFKVNmJQeA7R2eFU	false
2015-07-31T21:12:45Z	Net-SNTP-Client-0.14	GARYFALOS	Net-SNTP-Client	NA	w98OFE6o_g06e1A5CsxLtozufrA	false
2015-07-31T21:10:06Z	MongoDB-v0.999.999.4-TRIAL	MONGODB	MongoDB	NA	oouQzeMtowvV018fXhcnTv2bDa8	false
2015-07-31T21:08:39Z	Dancer2-Plugin-Model-1.152120	MITHALDU	Dancer2-Plugin-Model	NA	HazZhR2ouxkCYL6_zyoPC9lG1_4	true
2015-07-31T20:46:56Z	Dancer2-Plugin-LogContextual-1.152121	MITHALDU	Dancer2-Plugin-LogContextual	NA	t3ZSW1aHENObnj5VKOMjnRJkeLw	false
2015-07-31T20:46:44Z	Measure-Everything-1.000	DOMM	Measure-Everything	NA	KtHePqPF36NNaegwHa3XovXTFNU	true
2015-07-31T20:31:22Z	Dancer2-Plugin-LogContextual-1.152120	MITHALDU	Dancer2-Plugin-LogContextual	NA	wrhQeoInBro69jTvACIkp8aaK_Q	true
