date	name	author	distribution	x_static_install	id	first
2019-09-30T23:06:39Z	MarpaX-Hoonlint-1.007_001	JKEGL	MarpaX-Hoonlint	NA	O8HN9_LHxSbByP353VBsZKn1R2k	false
2019-09-30T18:55:14Z	Siffra-Tools-0.16	LUIZBENE	Siffra-Tools	NA	9G39i_UL7vPZX1arR6kaZ7POW10	false
2019-09-30T18:39:45Z	Git-Helpers-0.000020	OALDERS	Git-Helpers	1	za7v_4in9iquNNRi86OxP1O7_d0	false
2019-09-30T17:23:42Z	RT-Extension-Announce-1.02	BPS	RT-Extension-Announce	NA	VH4De7HnfAq5MJjzrhY7MuXIYf4	false
2019-09-30T16:05:15Z	Business-Tax-Withholding-JP-0.08	WORTHMINE	Business-Tax-Withholding-JP	1	6JIsR1O_hdfJBL3fsei9B1PE9Qc	false
2019-09-30T14:16:12Z	PDF-Create-1.46	MANWAR	PDF-Create	NA	aD81DPiSg9wpJ3rIN_PkgVBrhW0	false
2019-09-30T13:21:30Z	IO-Pager-0.44	JPIERCE	IO-Pager	NA	ve0c9cxys2byUN0tvtb3G8iRbvE	false
2019-09-30T12:29:32Z	Mojolicious-Command-scaffold-0.0.3	CRLCU	Mojolicious-Command-scaffold	NA	O6JQ__ng5v9JBpZoAGo49uJk5s8	false
2019-09-30T10:19:21Z	db-sql-migrations-advanced-v0.0.1	CRLCU	db-sql-migrations-advanced	NA	DQG_5O24W5XUdco05BN8MVh8Pyg	true
2019-09-30T08:35:26Z	Number-ZipCode-JP-0.20190930	TANIGUCHI	Number-ZipCode-JP	NA	sOAvB9i2lC5yZUbL_qFwYk1sy0M	false
2019-09-30T08:35:15Z	URI-Title-1.902	BOOK	URI-Title	NA	RXW_cv_evm0sRO7UFxnyxiljlDI	false
2019-09-30T08:03:25Z	WWW-Mechanize-Shell-0.58	CORION	WWW-Mechanize-Shell	1	6LDMQ7y5XynLZY0H3MRYtQmPz2Q	false
2019-09-30T06:10:54Z	Test-HTTP-LocalServer-0.68	CORION	Test-HTTP-LocalServer	1	0qkPLFAoLh8sqniwFS3irg58W60	false
2019-09-30T03:41:49Z	App-RenameUtils-0.002	PERLANCAR	App-RenameUtils	1	SHQGh1_t8pU6dcTRpc4BWbGQOLU	false
2019-09-29T23:36:56Z	Long-Jump-0.000001	EXODIST	Long-Jump	NA	MYh1WakQVgwpOJFSdRxPROst9Gg	true
2019-09-29T21:46:59Z	Business-CreditCard-0.38	PSRSBSNS	Business-CreditCard	NA	HibYRE1C65ZYk83AlKXRqEMgHJg	false
2019-09-29T20:37:00Z	Audio-Nama-1.216	GANGLION	Audio-Nama	NA	jdGidmUvP_ubclUUvcokPcAvjWk	false
2019-09-29T19:56:14Z	MarpaX-Hoonlint-1.006000	JKEGL	MarpaX-Hoonlint	NA	NSzw7yHZieiPpp6rJFJq_bipAyg	false
2019-09-29T18:24:55Z	PGObject-Util-DBAdmin-1.0.3	EHUELS	PGObject-Util-DBAdmin	NA	8DWTAuvO1b3xVc87dGk7yURYLfE	false
2019-09-29T18:24:44Z	Map-Metro-Plugin-Map-Lille-0.1003	CSSON	Map-Metro-Plugin-Map-Lille	NA	HU4X2y_f6LOXZsc7UhUahGPOTjI	false
2019-09-29T16:44:51Z	DateTime-Ordinal-0.01	LNATION	DateTime-Ordinal	NA	eBEUw_r2yM51PxgfBjdsvz41DWs	true
2019-09-29T15:57:26Z	Jacode4e-RoundTrip-2.13.81.10	INA	Jacode4e-RoundTrip	NA	8QZCMirYv0ND0s2zuavnfE94ZSU	false
