date	name	author	distribution	x_static_install	id	first
2016-07-31T23:59:10Z	IRC-Toolkit-0.092002	AVENJ	IRC-Toolkit	NA	VEA5TB9iuPo_VugWladS2UObUEA	false
2016-07-31T20:27:29Z	Net-SSLeay-1.77	MIKEM	Net-SSLeay	NA	Hlx7v_xvPVX8XNIXhtNd2j3_2mY	false
2016-07-31T18:46:47Z	asterisk-perl-1.06	ITCHARLIE	asterisk-perl	NA	PS8jkIlzoRmraoUZSpCQ69IvA24	false
2016-07-31T18:45:20Z	Bot-Cobalt-0.021003	AVENJ	Bot-Cobalt	NA	3aWkG7YbnQGR2ePtBqV8Yscsk1Y	false
2016-07-31T15:39:54Z	Transmission-Client-0.0805	OLOF	Transmission-Client	NA	qNVnuLd07D_zidhxO0Nr1knRmAE	false
2016-07-31T15:26:58Z	Devel-Debug-DBGp-0.14	MBARBON	Devel-Debug-DBGp	NA	H1itKFXij2rsXTHRf8Jpv73YxM0	false
2016-07-31T15:25:31Z	Plack-Middleware-DBGp-0.11	MBARBON	Plack-Middleware-DBGp	NA	k902oVosZavegTWSB4bEyKOIN1s	false
2016-07-31T12:44:12Z	AnyEvent-WebSocket-Client-0.34_01	PLICEASE	AnyEvent-WebSocket-Client	NA	DdUiyxxrPt1CfmjeWSGyIJ4MWu4	false
2016-07-31T08:47:22Z	Catalyst-Model-SCP-0.01	SHARDIWAL	Catalyst-Model-SCP	NA	lYJhh8bK91U_9XHCoMvW74iYoZU	true
2016-07-31T06:26:11Z	Data-EDI-X12-0.04	MJFLICK	Data-EDI-X12	NA	bOdTTMS4GqsyQMmSl4vabqk84yU	false
2016-07-31T02:53:16Z	Net-SSLeay-1.76	MIKEM	Net-SSLeay	NA	ndP_PDVK8Dp77PY9oFZQAtZnsbA	false
2016-07-31T02:26:19Z	WWW-Google-Places-0.31	MANWAR	WWW-Google-Places	NA	USiR1X6Nd7DdRorsvl6BvL0W7NM	false
2016-07-31T01:44:32Z	Data-EDI-X12-0.03	MJFLICK	Data-EDI-X12	NA	ssS14MWH4DCfEUk1wHq8VpVjszc	false
2016-07-31T01:22:50Z	Net-SSLeay-1.75	MIKEM	Net-SSLeay	NA	7O04wfYAMqo9ulb61iYnY3TvLig	false
2016-07-31T00:37:06Z	VCS-Which-v0.6.1	IVANWILLS	VCS-Which	NA	UF6ndoxe3ydTM_fvJszwW0CuA8k	false
2016-07-30T22:44:48Z	Acme-CPANAuthors-Booking-2016073001	BOOK	Acme-CPANAuthors-Booking	NA	oK6VZbSSfKsbkQBH5Qqhc4FQRJw	false
2016-07-30T21:17:43Z	Debug-Easy-1.14	RKELSCH	Debug-Easy	NA	lpIbz1WASvweXU3sV1me0dDntpg	false
2016-07-30T20:35:49Z	Log-Dispatchouli-2.013-TRIAL	RJBS	Log-Dispatchouli	NA	gW7647Vdfwhv1kHiEmjRJ3CZZRk	false
2016-07-30T20:22:20Z	Test2-Suite-0.000055	EXODIST	Test2-Suite	NA	JUeJN_rAU_nwaFqyUHs584kGIPA	false
2016-07-30T18:48:34Z	Net-FullAuto-1.0000211	REEDFISH	Net-FullAuto	NA	Z5_NgWFn_8CsVZx_ZQurPTSE4_U	false
2016-07-30T18:37:18Z	PEF-Front-0.02	ANTONPETR	PEF-Front	NA	SltxOmGvqOGp3oZ29hrXOAe345Q	false
2016-07-30T18:35:52Z	HON-Http-UrlChecker-Service-0.02	WILLBELL	HON-Http-UrlChecker-Service	NA	hZuLTRQ5cmsL3WnAGBXLPjSgXpE	false
2016-07-30T18:12:36Z	Net-FullAuto-1.0000210	REEDFISH	Net-FullAuto	NA	82VgXQ9t9kiCBP0033H41H_YVzA	false
2016-07-30T17:56:36Z	PEF-Front-0.01	ANTONPETR	PEF-Front	NA	BBX3_nnX59SMlyr0mxSbsoyhkQE	true
2016-07-30T17:44:58Z	Audio-Opusfile-0.001	MGV	Audio-Opusfile	NA	6i_TVPFqnzZ3In01nkLOleGxD1I	true
2016-07-30T16:09:06Z	Pod-Perldoc-3.26_01	MALLEN	Pod-Perldoc	NA	SErO0uRhU1G0hssZbKgN3_Du_Mg	false
2016-07-30T15:53:45Z	WWW-Amazon-Wishlist-2.015	MTHURN	WWW-Amazon-Wishlist	NA	irk_bsi4m1WykUfSEKwWJrJsfdI	false
2016-07-30T15:43:12Z	OrePAN2-0.43	OALDERS	OrePAN2	NA	kHtUtSmw7Mhz32yfKl_qubvXKqo	false
2016-07-30T15:32:40Z	WWW-Ebay-1.005	MTHURN	WWW-Ebay	NA	t4o6Vw96RA3g240SZy_LIT_hrKU	false
2016-07-30T15:03:17Z	WWW-Search-Ebay-Europe-2.016	MTHURN	WWW-Search-Ebay-Europe	NA	BuVOCq1P3AQiFeSmcKAP2AROgEc	false
2016-07-30T14:22:42Z	UI-KeyboardLayout-0.71	ILYAZ	UI-KeyboardLayout	NA	JCe2q8EtGeolK49Yhioo0HyH754	false
2016-07-30T14:04:13Z	Verilog-Perl-3.420	WSNYDER	Verilog-Perl	NA	7zsrbLO9v0Lgju3wqLnlMGrsn5s	false
2016-07-30T12:52:14Z	Catalyst-Plugin-EncryptID-0.02	SHARDIWAL	Catalyst-Plugin-EncryptID	NA	vp1AWDV0l6r_TpR3wZOZ9qo_KHg	false
2016-07-30T12:06:39Z	Math-BaseCnv-1.14	PIP	Math-BaseCnv	NA	kzqn9Uc79PDkR6dbm1GksM6CjfI	false
