date	name	author	distribution	x_static_install	id	first
2015-01-31T23:36:43Z	Object-Trampoline-1.28	LEMBARK	Object-Trampoline	NA	TbANfZSx2eGiUEhUaDUmzN4yLoY	false
2015-01-31T23:07:30Z	Panda-Export-2.2.0	SYBER	Panda-Export	NA	XZVHdR6y7Ws9U9d2u7JNFWc1qy0	false
2015-01-31T22:13:03Z	App-Zealc-0.000_001	MGV	App-Zealc	NA	r3U4RS4r4OqqBhSVyxYr7IwEliY	true
2015-01-31T22:11:37Z	Rictus-Bot-0.01	SCILLEY	Rictus-Bot	NA	kgHFBLUVPYSOfnFyd9pap_eYyqw	true
2015-01-31T21:57:00Z	boolean-0.44	INGY	boolean	NA	Qdsb3wqmUhoQsPYNppUjvI6WG2Q	false
2015-01-31T21:42:51Z	Cpanel-JSON-XS-3.0115	RURBAN	Cpanel-JSON-XS	NA	2yucs_IRdUpm58SkoYobesKKX4g	false
2015-01-31T20:52:14Z	Acme-CPANAuthors-Nonhuman-0.021	ETHER	Acme-CPANAuthors-Nonhuman	NA	qizVmmSarZykQvE8m_MYyl3RzTI	false
2015-01-31T19:50:18Z	MooseX-Role-Timer-0.05	MILA	MooseX-Role-Timer	NA	Fy07VNZQIixKIhFm3Im77e7aN_c	false
2015-01-31T19:43:43Z	WWW-BetfairNG-0.10	MYRDDIN	WWW-BetfairNG	NA	sH8DjmdfLfVFwcKsL9x6mIVlg0E	false
2015-01-31T19:29:36Z	Business-Tax-VAT-1.08	JONASBN	Business-Tax-VAT	NA	vtLBbgrk6qpYaSNTA4QP_W6kHAE	false
2015-01-31T18:57:52Z	Dancer-Plugin-Formatter-0.04	SHOORICK	Dancer-Plugin-Formatter	NA	vG_6Yl3DrwIKu08CpOpXHV22H4g	false
2015-01-31T18:50:01Z	Panda-URI-1.0.0	SYBER	Panda-URI	NA	eSpLn9Xe4d1U04q8GbDBLvmkC3U	false
